interaction_id,student_id,hostel_id,interaction_type,weight,rating,session_id,timestamp
INT-00068,STU-003,HST-011,view,1,,SESS-STU-003-03,2025-09-21 00:48:00
INT-00069,STU-003,HST-024,save,3,,SESS-STU-003-03,2025-09-21 01:07:00
INT-00070,STU-003,HST-007,save,3,,SESS-STU-003-03,2025-09-21 01:00:00
INT-00071,STU-003,HST-019,save,3,,SESS-STU-003-03,2025-09-21 01:01:00
INT-00072,STU-004,HST-073,view,1,,SESS-STU-004-01,2026-02-21 00:00:00
INT-00073,STU-004,HST-065,view,1,,SESS-STU-004-01,2026-02-21 00:04:00
INT-00074,STU-004,HST-054,view,1,,SESS-STU-004-01,2026-02-21 00:06:00
INT-00075,STU-004,HST-041,view,1,,SESS-STU-004-01,2026-02-21 00:18:00
INT-00076,STU-004,HST-058,view,1,,SESS-STU-004-01,2026-02-21 00:08:00
INT-00077,STU-004,HST-051,view,1,,SESS-STU-004-01,2026-02-21 00:10:00
INT-00078,STU-004,HST-062,view,1,,SESS-STU-004-01,2026-02-21 00:36:00
INT-00079,STU-004,HST-049,view,1,,SESS-STU-004-01,2026-02-21 00:14:00
INT-00080,STU-004,HST-041,save,3,,SESS-STU-004-01,2026-02-21 01:28:00
INT-00081,STU-004,HST-041,booking,5,3.9,SESS-STU-004-BOOK,2026-02-26 00:00:00
INT-00082,STU-005,HST-023,view,1,,SESS-STU-005-01,2025-11-16 00:00:00
INT-00083,STU-005,HST-022,view,1,,SESS-STU-005-01,2025-11-16 00:07:00
INT-00084,STU-005,HST-006,view,1,,SESS-STU-005-01,2025-11-16 00:04:00
INT-00085,STU-005,HST-029,view,1,,SESS-STU-005-01,2025-11-16 00:27:00
INT-00086,STU-005,HST-036,view,1,,SESS-STU-005-01,2025-11-16 00:08:00
INT-00087,STU-005,HST-032,view,1,,SESS-STU-005-01,2025-11-16 00:10:00
INT-00088,STU-005,HST-007,view,1,,SESS-STU-005-01,2025-11-16 00:30:00
INT-00089,STU-005,HST-002,view,1,,SESS-STU-005-01,2025-11-16 00:14:00
INT-00090,STU-005,HST-015,view,1,,SESS-STU-005-01,2025-11-16 00:32:00
INT-00091,STU-005,HST-022,save,3,,SESS-STU-005-01,2025-11-16 01:00:00
INT-00092,STU-005,HST-008,view,1,,SESS-STU-005-02,2025-09-13 00:00:00
INT-00093,STU-005,HST-003,view,1,,SESS-STU-005-02,2025-09-13 00:07:00
INT-00094,STU-005,HST-017,view,1,,SESS-STU-005-02,2025-09-13 00:06:00
INT-00095,STU-005,HST-018,view,1,,SESS-STU-005-02,2025-09-13 00:09:00
INT-00096,STU-005,HST-014,view,1,,SESS-STU-005-02,2025-09-13 00:36:00
INT-00097,STU-005,HST-012,view,1,,SESS-STU-005-02,2025-09-13 00:25:00
INT-00098,STU-005,HST-015,view,1,,SESS-STU-005-02,2025-09-13 00:12:00
INT-00099,STU-005,HST-005,view,1,,SESS-STU-005-02,2025-09-13 00:28:00
INT-00100,STU-005,HST-008,save,3,,SESS-STU-005-02,2025-09-13 01:07:00
INT-00101,STU-005,HST-017,save,3,,SESS-STU-005-02,2025-09-13 01:09:00
INT-00102,STU-005,HST-008,booking_attempt,4,,SESS-STU-005-BOOK,2026-02-16 00:00:00
INT-00103,STU-006,HST-059,view,1,,SESS-STU-006-01,2026-01-21 00:00:00
INT-00104,STU-006,HST-071,view,1,,SESS-STU-006-01,2026-01-21 00:02:00
INT-00105,STU-006,HST-049,view,1,,SESS-STU-006-01,2026-01-21 00:12:00
INT-00106,STU-006,HST-059,save,3,,SESS-STU-006-01,2026-01-21 01:12:00
INT-00107,STU-006,HST-049,save,3,,SESS-STU-006-01,2026-01-21 01:17:00
INT-00108,STU-006,HST-071,save,3,,SESS-STU-006-01,2026-01-21 01:02:00
INT-00109,STU-006,HST-071,view,1,,SESS-STU-006-02,2025-10-17 00:00:00
INT-00110,STU-006,HST-055,view,1,,SESS-STU-006-02,2025-10-17 00:05:00
INT-00111,STU-006,HST-058,view,1,,SESS-STU-006-02,2025-10-17 00:16:00
INT-00112,STU-006,HST-047,view,1,,SESS-STU-006-02,2025-10-17 00:09:00
INT-00113,STU-006,HST-050,view,1,,SESS-STU-006-02,2025-10-17 00:24:00
INT-00114,STU-006,HST-073,view,1,,SESS-STU-006-02,2025-10-17 00:25:00
INT-00115,STU-006,HST-039,view,1,,SESS-STU-006-02,2025-10-17 00:48:00
INT-00116,STU-006,HST-073,save,3,,SESS-STU-006-02,2025-10-17 01:18:00
INT-00117,STU-006,HST-050,save,3,,SESS-STU-006-02,2025-10-17 01:26:00
INT-00118,STU-006,HST-055,save,3,,SESS-STU-006-02,2025-10-17 01:07:00
INT-00119,STU-006,HST-068,view,1,,SESS-STU-006-03,2025-10-25 00:00:00
INT-00120,STU-006,HST-069,view,1,,SESS-STU-006-03,2025-10-25 00:06:00
INT-00121,STU-006,HST-047,view,1,,SESS-STU-006-03,2025-10-25 00:06:00
INT-00122,STU-006,HST-065,view,1,,SESS-STU-006-03,2025-10-25 00:09:00
INT-00123,STU-006,HST-047,save,3,,SESS-STU-006-03,2025-10-25 01:07:00
INT-00124,STU-006,HST-050,booking_attempt,4,,SESS-STU-006-BOOK,2026-02-18 00:00:00
INT-00125,STU-006,HST-047,booking,5,3.9,SESS-STU-006-BOOK,2026-02-25 00:00:00
INT-00126,STU-007,HST-073,view,1,,SESS-STU-007-01,2025-10-12 00:00:00
INT-00127,STU-007,HST-062,view,1,,SESS-STU-007-01,2025-10-12 00:06:00
INT-00128,STU-007,HST-063,view,1,,SESS-STU-007-01,2025-10-12 00:10:00
INT-00129,STU-007,HST-061,view,1,,SESS-STU-007-01,2025-10-12 00:12:00
INT-00130,STU-007,HST-045,view,1,,SESS-STU-007-01,2025-10-12 00:24:00
INT-00131,STU-007,HST-075,view,1,,SESS-STU-007-01,2025-10-12 00:15:00
INT-00132,STU-007,HST-062,save,3,,SESS-STU-007-01,2025-10-12 01:08:00
INT-00133,STU-007,HST-073,save,3,,SESS-STU-007-01,2025-10-12 01:08:00
INT-00134,STU-007,HST-075,save,3,,SESS-STU-007-01,2025-10-12 01:21:00
INT-00135,STU-007,HST-067,view,1,,SESS-STU-007-02,2026-02-01 00:00:00
INT-00136,STU-007,HST-050,view,1,,SESS-STU-007-02,2026-02-01 00:04:00
INT-00137,STU-007,HST-059,view,1,,SESS-STU-007-02,2026-02-01 00:10:00
INT-00138,STU-007,HST-059,save,3,,SESS-STU-007-02,2026-02-01 01:08:00
INT-00139,STU-007,HST-050,save,3,,SESS-STU-007-02,2026-02-01 01:00:00
INT-00140,STU-007,HST-075,booking_attempt,4,,SESS-STU-007-BOOK,2026-02-24 00:00:00
INT-00141,STU-007,HST-075,booking,5,4.8,SESS-STU-007-BOOK,2026-02-11 00:00:00
INT-00142,STU-008,HST-043,view,1,,SESS-STU-008-01,2025-12-18 00:00:00
INT-00143,STU-008,HST-047,view,1,,SESS-STU-008-01,2025-12-18 00:04:00
INT-00144,STU-008,HST-071,view,1,,SESS-STU-008-01,2025-12-18 00:08:00
INT-00145,STU-008,HST-062,view,1,,SESS-STU-008-01,2025-12-18 00:15:00
INT-00146,STU-008,HST-055,view,1,,SESS-STU-008-01,2025-12-18 00:20:00
INT-00147,STU-008,HST-043,save,3,,SESS-STU-008-01,2025-12-18 01:05:00
INT-00148,STU-008,HST-062,save,3,,SESS-STU-008-01,2025-12-18 01:19:00
INT-00149,STU-008,HST-055,save,3,,SESS-STU-008-01,2025-12-18 01:10:00
INT-00150,STU-008,HST-059,view,1,,SESS-STU-008-02,2025-12-05 00:00:00
INT-00151,STU-008,HST-069,view,1,,SESS-STU-008-02,2025-12-05 00:02:00
INT-00152,STU-008,HST-042,view,1,,SESS-STU-008-02,2025-12-05 00:08:00
INT-00153,STU-008,HST-055,view,1,,SESS-STU-008-02,2025-12-05 00:27:00
INT-00154,STU-008,HST-060,view,1,,SESS-STU-008-02,2025-12-05 00:20:00
INT-00155,STU-008,HST-046,view,1,,SESS-STU-008-02,2025-12-05 00:25:00
INT-00156,STU-008,HST-071,view,1,,SESS-STU-008-02,2025-12-05 00:48:00
INT-00157,STU-008,HST-046,save,3,,SESS-STU-008-02,2025-12-05 01:25:00
INT-00158,STU-008,HST-059,save,3,,SESS-STU-008-02,2025-12-05 01:19:00
INT-00159,STU-008,HST-069,save,3,,SESS-STU-008-02,2025-12-05 01:05:00
INT-00160,STU-008,HST-069,booking_attempt,4,,SESS-STU-008-BOOK,2026-02-02 00:00:00
INT-00161,STU-008,HST-055,booking,5,4.2,SESS-STU-008-BOOK,2026-02-12 00:00:00
INT-00162,STU-009,HST-012,view,1,,SESS-STU-009-01,2025-12-29 00:00:00
INT-00163,STU-009,HST-004,view,1,,SESS-STU-009-01,2025-12-29 00:09:00
INT-00164,STU-009,HST-028,view,1,,SESS-STU-009-01,2025-12-29 00:06:00
INT-00165,STU-009,HST-028,save,3,,SESS-STU-009-01,2025-12-29 01:12:00
INT-00166,STU-009,HST-012,save,3,,SESS-STU-009-01,2025-12-29 01:13:00
INT-00167,STU-009,HST-004,save,3,,SESS-STU-009-01,2025-12-29 01:17:00
INT-00168,STU-009,HST-025,view,1,,SESS-STU-009-02,2026-02-08 00:00:00
INT-00169,STU-009,HST-012,view,1,,SESS-STU-009-02,2026-02-08 00:04:00
INT-00170,STU-009,HST-021,view,1,,SESS-STU-009-02,2026-02-08 00:12:00
INT-00171,STU-009,HST-031,view,1,,SESS-STU-009-02,2026-02-08 00:12:00
INT-00172,STU-009,HST-035,view,1,,SESS-STU-009-02,2026-02-08 00:20:00
INT-00173,STU-009,HST-016,view,1,,SESS-STU-009-02,2026-02-08 00:15:00
INT-00174,STU-009,HST-017,view,1,,SESS-STU-009-02,2026-02-08 00:24:00
INT-00175,STU-009,HST-025,save,3,,SESS-STU-009-02,2026-02-08 01:16:00
INT-00176,STU-009,HST-016,save,3,,SESS-STU-009-02,2026-02-08 01:15:00
INT-00177,STU-009,HST-023,view,1,,SESS-STU-009-03,2025-11-09 00:00:00
INT-00178,STU-009,HST-015,view,1,,SESS-STU-009-03,2025-11-09 00:03:00
INT-00179,STU-009,HST-012,view,1,,SESS-STU-009-03,2025-11-09 00:18:00
INT-00180,STU-009,HST-026,view,1,,SESS-STU-009-03,2025-11-09 00:24:00
INT-00181,STU-009,HST-027,view,1,,SESS-STU-009-03,2025-11-09 00:32:00
INT-00182,STU-009,HST-012,save,3,,SESS-STU-009-03,2025-11-09 01:08:00
INT-00183,STU-009,HST-012,booking,5,4.2,SESS-STU-009-BOOK,2026-02-19 00:00:00
INT-00184,STU-010,HST-016,view,1,,SESS-STU-010-01,2026-02-14 00:00:00
INT-00185,STU-010,HST-001,view,1,,SESS-STU-010-01,2026-02-14 00:04:00
INT-00186,STU-010,HST-038,view,1,,SESS-STU-010-01,2026-02-14 00:04:00
INT-00187,STU-010,HST-005,view,1,,SESS-STU-010-01,2026-02-14 00:24:00
INT-00188,STU-010,HST-006,view,1,,SESS-STU-010-01,2026-02-14 00:32:00
INT-00189,STU-010,HST-016,save,3,,SESS-STU-010-01,2026-02-14 01:15:00
INT-00190,STU-010,HST-020,view,1,,SESS-STU-010-02,2025-11-06 00:00:00
INT-00191,STU-010,HST-019,view,1,,SESS-STU-010-02,2025-11-06 00:02:00
INT-00192,STU-010,HST-003,view,1,,SESS-STU-010-02,2025-11-06 00:04:00
INT-00193,STU-010,HST-014,view,1,,SESS-STU-010-02,2025-11-06 00:09:00
INT-00194,STU-010,HST-019,save,3,,SESS-STU-010-02,2025-11-06 01:02:00
INT-00195,STU-010,HST-003,save,3,,SESS-STU-010-02,2025-11-06 01:01:00
INT-00196,STU-010,HST-014,save,3,,SESS-STU-010-02,2025-11-06 01:15:00
INT-00197,STU-010,HST-028,view,1,,SESS-STU-010-03,2025-12-03 00:00:00
INT-00198,STU-010,HST-033,view,1,,SESS-STU-010-03,2025-12-03 00:07:00
INT-00199,STU-010,HST-019,view,1,,SESS-STU-010-03,2025-12-03 00:10:00
INT-00200,STU-010,HST-004,view,1,,SESS-STU-010-03,2025-12-03 00:18:00
INT-00201,STU-010,HST-024,view,1,,SESS-STU-010-03,2025-12-03 00:32:00
INT-00202,STU-010,HST-015,view,1,,SESS-STU-010-03,2025-12-03 00:25:00
INT-00203,STU-010,HST-012,view,1,,SESS-STU-010-03,2025-12-03 00:12:00
INT-00204,STU-010,HST-005,view,1,,SESS-STU-010-03,2025-12-03 01:03:00
INT-00205,STU-010,HST-012,save,3,,SESS-STU-010-03,2025-12-03 01:15:00
INT-00206,STU-010,HST-019,save,3,,SESS-STU-010-03,2025-12-03 01:26:00
INT-00207,STU-010,HST-014,booking_attempt,4,,SESS-STU-010-BOOK,2026-01-29 00:00:00
INT-00208,STU-011,HST-055,view,1,,SESS-STU-011-01,2025-09-21 00:00:00
INT-00209,STU-011,HST-072,view,1,,SESS-STU-011-01,2025-09-21 00:09:00
INT-00210,STU-011,HST-041,view,1,,SESS-STU-011-01,2025-09-21 00:16:00
INT-00211,STU-011,HST-072,save,3,,SESS-STU-011-01,2025-09-21 01:17:00
INT-00212,STU-011,HST-041,save,3,,SESS-STU-011-01,2025-09-21 01:12:00
INT-00213,STU-011,HST-055,save,3,,SESS-STU-011-01,2025-09-21 01:25:00
INT-00214,STU-011,HST-055,view,1,,SESS-STU-011-02,2026-02-22 00:00:00
INT-00215,STU-011,HST-071,view,1,,SESS-STU-011-02,2026-02-22 00:09:00
INT-00216,STU-011,HST-070,view,1,,SESS-STU-011-02,2026-02-22 00:12:00
INT-00217,STU-011,HST-068,view,1,,SESS-STU-011-02,2026-02-22 00:12:00
INT-00218,STU-011,HST-040,view,1,,SESS-STU-011-02,2026-02-22 00:12:00
INT-00219,STU-011,HST-070,save,3,,SESS-STU-011-02,2026-02-22 01:05:00
INT-00220,STU-011,HST-071,save,3,,SESS-STU-011-02,2026-02-22 01:14:00
INT-00221,STU-011,HST-072,view,1,,SESS-STU-011-03,2025-09-07 00:00:00
INT-00222,STU-011,HST-059,view,1,,SESS-STU-011-03,2025-09-07 00:02:00
INT-00223,STU-011,HST-066,view,1,,SESS-STU-011-03,2025-09-07 00:06:00
INT-00224,STU-011,HST-049,view,1,,SESS-STU-011-03,2025-09-07 00:24:00
INT-00225,STU-011,HST-049,save,3,,SESS-STU-011-03,2025-09-07 01:02:00
INT-00226,STU-011,HST-066,save,3,,SESS-STU-011-03,2025-09-07 01:10:00
INT-00227,STU-011,HST-049,booking,5,4.4,SESS-STU-011-BOOK,2026-02-18 00:00:00
INT-00228,STU-012,HST-020,view,1,,SESS-STU-012-01,2025-10-18 00:00:00
INT-00229,STU-012,HST-011,view,1,,SESS-STU-012-01,2025-10-18 00:09:00
INT-00230,STU-012,HST-024,view,1,,SESS-STU-012-01,2025-10-18 00:04:00
INT-00231,STU-012,HST-019,view,1,,SESS-STU-012-01,2025-10-18 00:24:00
INT-00232,STU-012,HST-036,view,1,,SESS-STU-012-01,2025-10-18 00:20:00
INT-00233,STU-012,HST-036,save,3,,SESS-STU-012-01,2025-10-18 01:25:00
INT-00234,STU-012,HST-032,view,1,,SESS-STU-012-02,2025-12-09 00:00:00
INT-00235,STU-012,HST-028,view,1,,SESS-STU-012-02,2025-12-09 00:09:00
INT-00236,STU-012,HST-008,view,1,,SESS-STU-012-02,2025-12-09 00:06:00
INT-00237,STU-012,HST-031,view,1,,SESS-STU-012-02,2025-12-09 00:06:00
INT-00238,STU-012,HST-016,view,1,,SESS-STU-012-02,2025-12-09 00:28:00
INT-00239,STU-012,HST-005,view,1,,SESS-STU-012-02,2025-12-09 00:30:00
INT-00240,STU-012,HST-017,view,1,,SESS-STU-012-02,2025-12-09 00:48:00
INT-00241,STU-012,HST-034,view,1,,SESS-STU-012-02,2025-12-09 00:49:00
INT-00242,STU-012,HST-009,view,1,,SESS-STU-012-02,2025-12-09 00:56:00
INT-00243,STU-012,HST-024,view,1,,SESS-STU-012-02,2025-12-09 00:27:00
INT-00244,STU-012,HST-017,save,3,,SESS-STU-012-02,2025-12-09 01:28:00
INT-00245,STU-012,HST-026,view,1,,SESS-STU-012-03,2025-12-27 00:00:00
INT-00246,STU-012,HST-036,view,1,,SESS-STU-012-03,2025-12-27 00:02:00
INT-00247,STU-012,HST-034,view,1,,SESS-STU-012-03,2025-12-27 00:08:00
INT-00248,STU-012,HST-028,view,1,,SESS-STU-012-03,2025-12-27 00:15:00
INT-00249,STU-012,HST-026,save,3,,SESS-STU-012-03,2025-12-27 01:04:00
INT-00250,STU-012,HST-026,booking,5,3.2,SESS-STU-012-BOOK,2026-02-14 00:00:00
INT-00251,STU-013,HST-071,view,1,,SESS-STU-013-01,2025-09-03 00:00:00
INT-00252,STU-013,HST-065,view,1,,SESS-STU-013-01,2025-09-03 00:06:00
INT-00253,STU-013,HST-050,view,1,,SESS-STU-013-01,2025-09-03 00:10:00
INT-00254,STU-013,HST-047,view,1,,SESS-STU-013-01,2025-09-03 00:24:00
INT-00255,STU-013,HST-063,view,1,,SESS-STU-013-01,2025-09-03 00:12:00
INT-00256,STU-013,HST-073,view,1,,SESS-STU-013-01,2025-09-03 00:20:00
INT-00257,STU-013,HST-062,view,1,,SESS-STU-013-01,2025-09-03 00:18:00
INT-00258,STU-013,HST-042,view,1,,SESS-STU-013-01,2025-09-03 00:49:00
INT-00259,STU-013,HST-073,save,3,,SESS-STU-013-01,2025-09-03 01:21:00
INT-00260,STU-013,HST-073,booking_attempt,4,,SESS-STU-013-BOOK,2026-02-17 00:00:00
INT-00261,STU-013,HST-073,booking,5,4.3,SESS-STU-013-BOOK,2026-02-26 00:00:00
INT-00262,STU-014,HST-057,view,1,,SESS-STU-014-01,2025-11-22 00:00:00
INT-00263,STU-014,HST-044,view,1,,SESS-STU-014-01,2025-11-22 00:03:00
INT-00264,STU-014,HST-043,view,1,,SESS-STU-014-01,2025-11-22 00:14:00
INT-00265,STU-014,HST-064,view,1,,SESS-STU-014-01,2025-11-22 00:18:00
INT-00266,STU-014,HST-047,view,1,,SESS-STU-014-01,2025-11-22 00:12:00
INT-00267,STU-014,HST-046,view,1,,SESS-STU-014-01,2025-11-22 00:20:00
INT-00268,STU-014,HST-050,view,1,,SESS-STU-014-01,2025-11-22 00:24:00
INT-00269,STU-014,HST-039,view,1,,SESS-STU-014-01,2025-11-22 01:03:00
INT-00270,STU-014,HST-044,save,3,,SESS-STU-014-01,2025-11-22 01:28:00
INT-00271,STU-014,HST-046,save,3,,SESS-STU-014-01,2025-11-22 01:13:00
INT-00272,STU-014,HST-039,save,3,,SESS-STU-014-01,2025-11-22 01:21:00
INT-00273,STU-015,HST-065,view,1,,SESS-STU-015-01,2025-09-10 00:00:00
INT-00274,STU-015,HST-064,view,1,,SESS-STU-015-01,2025-09-10 00:05:00
INT-00275,STU-015,HST-041,view,1,,SESS-STU-015-01,2025-09-10 00:18:00
INT-00276,STU-015,HST-072,view,1,,SESS-STU-015-01,2025-09-10 00:21:00
INT-00277,STU-015,HST-060,view,1,,SESS-STU-015-01,2025-09-10 00:24:00
INT-00278,STU-015,HST-055,view,1,,SESS-STU-015-01,2025-09-10 00:35:00
INT-00279,STU-015,HST-039,view,1,,SESS-STU-015-01,2025-09-10 00:24:00
INT-00280,STU-015,HST-073,view,1,,SESS-STU-015-01,2025-09-10 00:21:00
INT-00281,STU-015,HST-063,view,1,,SESS-STU-015-01,2025-09-10 01:12:00
INT-00282,STU-015,HST-067,view,1,,SESS-STU-015-01,2025-09-10 01:12:00
INT-00283,STU-015,HST-064,save,3,,SESS-STU-015-01,2025-09-10 01:20:00
INT-00284,STU-015,HST-065,save,3,,SESS-STU-015-01,2025-09-10 01:15:00
INT-00285,STU-015,HST-073,save,3,,SESS-STU-015-01,2025-09-10 01:09:00
INT-00286,STU-015,HST-062,view,1,,SESS-STU-015-02,2025-11-03 00:00:00
INT-00287,STU-015,HST-074,view,1,,SESS-STU-015-02,2025-11-03 00:09:00
INT-00288,STU-015,HST-046,view,1,,SESS-STU-015-02,2025-11-03 00:14:00
INT-00289,STU-015,HST-064,view,1,,SESS-STU-015-02,2025-11-03 00:18:00
INT-00290,STU-015,HST-068,view,1,,SESS-STU-015-02,2025-11-03 00:20:00
INT-00291,STU-015,HST-070,view,1,,SESS-STU-015-02,2025-11-03 00:40:00
INT-00292,STU-015,HST-060,view,1,,SESS-STU-015-02,2025-11-03 00:24:00
INT-00293,STU-015,HST-063,view,1,,SESS-STU-015-02,2025-11-03 01:03:00
INT-00294,STU-015,HST-064,save,3,,SESS-STU-015-02,2025-11-03 01:18:00
INT-00295,STU-015,HST-070,save,3,,SESS-STU-015-02,2025-11-03 01:06:00
INT-00296,STU-015,HST-064,booking,5,3.5,SESS-STU-015-BOOK,2026-02-20 00:00:00
INT-00297,STU-016,HST-021,view,1,,SESS-STU-016-01,2025-12-09 00:00:00
INT-00298,STU-016,HST-010,view,1,,SESS-STU-016-01,2025-12-09 00:05:00
INT-00299,STU-016,HST-019,view,1,,SESS-STU-016-01,2025-12-09 00:18:00
INT-00300,STU-016,HST-021,save,3,,SESS-STU-016-01,2025-12-09 01:26:00
INT-00301,STU-016,HST-019,save,3,,SESS-STU-016-01,2025-12-09 01:09:00
INT-00302,STU-016,HST-024,view,1,,SESS-STU-016-02,2026-02-12 00:00:00
INT-00303,STU-016,HST-013,view,1,,SESS-STU-016-02,2026-02-12 00:09:00
INT-00304,STU-016,HST-035,view,1,,SESS-STU-016-02,2026-02-12 00:18:00
INT-00305,STU-016,HST-011,view,1,,SESS-STU-016-02,2026-02-12 00:27:00
INT-00306,STU-016,HST-014,view,1,,SESS-STU-016-02,2026-02-12 00:16:00
