student_id,gender,department,year,latitude,longitude,budget_min,budget_max,price_sensitivity,max_distance_km,needs_transport,preferred_type,preferred_room_type,food_preference,study_preference,social_preference,comfort_preference,noise_tolerance,curfew_flexibility,must_have_amenities,priority_wifi,priority_gym,priority_study_room,priority_cafeteria,priority_laundry,priority_ac,priority_hot_water,priority_generator,ethnicity,home_city,languages,university,degree,smoking_pref,cleanliness_level,sleep_schedule,guest_policy,sharing_pref,personality,study_habits,job_title,company,priority_parking,priority_security_guard,priority_prayer_room,work_schedule,work_from_home,years_experience,is_professional,resident_type
STU-011,Male,Computer Science,3,33.645323,73.001599,7587,15849,0.2,1.9,0,Boys,Double,Both,1.0,0.0,0.04,0.58,0.45,"[""Study Room"", ""Prayer Room""]",0,0.0,1.0,0.0,0,0,0,0,Sindhi,Mirpur Khas,"Urdu, English, Sindhi",FAST NUCES,Computer Science,Smoker,5,Early bird,No guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-012,Female,Computer Science,4,33.690456,73.057118,8505,25172,0.62,5.0,1,Girls,Double,Veg,0.02,0.98,0.25,0.69,0.6,"[""Iron"", ""AC"", ""Security Guard""]",0,0.0,0.0,0.0,0,1,0,0,Punjabi,Multan,"Urdu, English, Punjabi, Arabic",COMSATS,Computer Science,Non-smoker,3,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-013,Male,Software Engineering,3,33.656045,72.983401,14146,20408,0.79,4.9,1,Boys,Dormitory,Both,0.38,0.62,0.42,0.17,0.47,"[""Microwave"", ""Gym""]",0,1.0,0.0,0.0,0,0,0,0,Punjabi,Multan,"Urdu, English, Punjabi",FAST NUCES,Software Engineering,Non-smoker,2,Early bird,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-014,Male,Cyber Security,2,33.655455,72.991595,7775,25968,0.34,1.0,0,Boys,Dormitory,Non-Veg,0.44,0.56,0.86,0.15,0.08,"[""Iron"", ""Gym"", ""CCTV"", ""Laundry""]",0,1.0,0.0,0.0,1,0,0,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi, Kashmiri",FAST NUCES,Cyber Security,Non-smoker,4,Early bird,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-015,Male,Electrical Engineering,3,33.680472,73.044134,12542,29840,0.04,4.2,1,Boys,Double,Veg,0.8,0.2,0.13,0.56,0.77,"[""Security Guard"", ""Common Room"", ""Water Cooler"", ""Study Room""]",0,0.0,1.0,0.0,0,0,0,0,Sindhi,Mirpur Khas,"Urdu, English, Sindhi",FAST NUCES,Electrical Engineering,Smoker,2,Early bird,Occasional guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-016,Female,Cyber Security,2,33.72174,73.099094,12124,34352,0.85,5.3,1,Girls,Dormitory,Non-Veg,0.49,0.51,0.17,0.85,0.49,"[""Hot Water"", ""Laundry"", ""Library"", ""Rooftop Access""]",0,0.0,0.0,0.0,1,0,1,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi",Air University,Cyber Security,Non-smoker,2,Early bird,Frequent guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-017,Male,Software Engineering,4,33.717491,73.053855,5719,19316,0.46,4.4,1,Boys,Double,Non-Veg,0.58,0.42,0.35,0.09,0.49,"[""Library"", ""Gym"", ""Lounge""]",0,1.0,0.0,0.0,0,0,0,0,Punjabi,Multan,"Urdu, English, Punjabi",IIUI,Software Engineering,Non-smoker,3,Early bird,Occasional guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-018,Female,Social Sciences,2,33.719529,73.09855,9204,21650,0.77,2.4,0,Girls,Dormitory,Non-Veg,0.21,0.79,0.12,0.63,0.28,"[""Common Room""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",FAST NUCES,Social Sciences,Non-smoker,3,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-019,Female,Software Engineering,2,33.675392,73.052392,7696,14413,0.07,7.0,1,Girls,Single,Both,0.8,0.2,0.02,0.83,0.52,"[""Study Room"", ""Microwave""]",0,0.0,1.0,0.0,0,0,0,0,Sindhi,Sukkur,"Urdu, English, Sindhi",FAST NUCES,Software Engineering,Non-smoker,3,Early bird,No guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-020,Female,Computer Science,1,33.732142,73.095046,9322,28004,0.35,2.7,0,Girls,Double,Both,0.03,0.97,0.44,0.79,0.28,"[""AC"", ""Parking""]",0,0.0,0.0,0.0,0,1,0,0,Pathan,Kohat,"Urdu, English, Pashto",FAST NUCES,Computer Science,Non-smoker,3,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-021,Male,BBA,4,33.68185,73.056473,9891,19883,0.82,1.1,0,Boys,Dormitory,Non-Veg,0.99,0.01,0.76,0.06,0.01,"[""Hot Water"", ""Cafeteria"", ""Study Room"", ""Security Guard""]",0,0.0,1.0,1.0,0,0,1,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",FAST NUCES,BBA,Non-smoker,3,Early bird,Occasional guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-022,Male,Social Sciences,3,33.679833,73.041712,11305,35087,0.93,2.8,0,Boys,Single,Non-Veg,0.76,0.24,0.82,0.57,0.66,"[""Generator"", ""Lounge""]",0,0.0,0.0,0.0,0,0,0,1,Pathan,Mardan,"Urdu, English, Pashto",Air University,Social Sciences,Non-smoker,2,Early bird,Occasional guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-023,Female,Cyber Security,3,33.638075,72.984313,12409,27786,0.78,2.6,0,Girls,Dormitory,Both,0.01,0.99,0.24,0.14,0.12,"[""Iron""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Peshawar,"Urdu, English, Pashto",IIUI,Cyber Security,Non-smoker,5,Night owl,Occasional guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-024,Male,BBA,1,33.735814,73.092647,5896,21246,0.46,4.2,1,Boys,Dormitory,Both,0.14,0.86,0.3,0.93,0.12,"[""Study Room""]",0,0.0,1.0,0.0,0,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi, Kashmiri",FAST NUCES,BBA,Non-smoker,5,Night owl,No guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-025,Female,Social Sciences,4,33.723083,73.050285,12984,18390,0.32,4.0,1,Girls,Double,Non-Veg,0.03,0.97,0.44,0.9,0.96,"[""Hot Water"", ""Cafeteria"", ""Laundry"", ""CCTV""]",0,0.0,0.0,1.0,1,0,1,0,Pathan,Kohat,"Urdu, English, Pashto, Arabic",IIUI,Social Sciences,Don't mind,3,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-026,Male,Computer Science,4,33.713636,73.041036,12331,28735,0.4,4.0,1,Boys,Single,Non-Veg,0.54,0.46,0.75,0.53,0.68,"[""Refrigerator"", ""WiFi"", ""Hot Water"", ""Library""]",1,0.0,0.0,0.0,0,0,1,0,Punjabi,Multan,"Urdu, English, Punjabi",FAST NUCES,Computer Science,Non-smoker,5,Night owl,Frequent guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-027,Male,Data Science,4,33.714743,73.040052,11715,28588,0.32,5.9,1,Boys,Double,Both,0.15,0.85,0.23,0.21,0.86,"[""Prayer Room""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",FAST NUCES,Data Science,Non-smoker,3,Night owl,Frequent guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-028,Female,Computer Science,2,33.739352,73.086923,12701,35301,0.39,3.1,0,Girls,Dormitory,Non-Veg,0.78,0.22,0.1,0.02,0.66,"[""CCTV"", ""Prayer Room""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Swat,"Urdu, English, Pashto, Kashmiri",FAST NUCES,Computer Science,Smoker,3,Early bird,No guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-029,Female,Cyber Security,2,33.72469,73.088698,12905,27898,0.54,2.0,0,Girls,Dormitory,Both,0.02,0.98,0.28,0.71,0.27,"[""AC"", ""Refrigerator""]",0,0.0,0.0,0.0,0,1,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Cyber Security,Non-smoker,2,Night owl,Frequent guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-030,Female,Cyber Security,4,33.723886,73.087622,6902,24107,0.69,1.8,0,Girls,Single,Non-Veg,0.09,0.91,0.55,0.22,0.21,"[""Laundry""]",0,0.0,0.0,0.0,1,0,0,0,Pathan,Peshawar,"Urdu, English, Pashto",FAST NUCES,Cyber Security,Non-smoker,4,Night owl,Frequent guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-031,Male,Cyber Security,3,33.711134,73.038593,12478,31449,0.83,5.3,1,Boys,Single,Non-Veg,0.35,0.65,0.67,0.82,0.4,"[""Parking""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Hyderabad,"Urdu, English, Sindhi",FAST NUCES,Cyber Security,Non-smoker,5,Night owl,Frequent guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-032,Male,Social Sciences,3,33.718891,73.047992,11781,32727,0.02,2.8,0,Boys,Single,Non-Veg,0.67,0.33,0.82,0.04,0.89,"[""Common Room"", ""Iron"", ""Water Cooler"", ""CCTV""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",IIUI,Social Sciences,Non-smoker,3,Night owl,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-033,Female,Civil Engineering,2,33.67562,73.043657,5320,14974,0.69,1.9,0,Girls,Dormitory,Non-Veg,0.77,0.23,0.23,0.63,0.75,"[""Water Cooler"", ""Cafeteria""]",0,0.0,0.0,1.0,0,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",FAST NUCES,Civil Engineering,Smoker,4,Early bird,Occasional guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-034,Male,Software Engineering,2,33.713669,73.049783,6269,12529,0.05,4.4,1,Boys,Double,Veg,0.85,0.15,0.89,0.58,0.56,"[""Microwave"", ""Iron"", ""Cafeteria"", ""Library""]",0,0.0,0.0,1.0,0,0,0,0,Sindhi,Karachi,"Urdu, English, Sindhi",FAST NUCES,Software Engineering,Don't mind,2,Early bird,Frequent guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-035,Male,Social Sciences,1,33.677414,73.054932,8977,33030,0.63,1.1,0,Boys,Dormitory,Non-Veg,0.6,0.4,0.59,0.02,0.73,"[""Hot Water""]",0,0.0,0.0,0.0,0,0,1,0,Punjabi,Lahore,"Urdu, English, Punjabi",FAST NUCES,Social Sciences,Non-smoker,3,Night owl,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-036,Male,Civil Engineering,2,33.729379,73.089465,12148,35896,0.81,2.7,0,Boys,Dormitory,Veg,0.13,0.87,0.38,0.67,0.99,"[""Laundry"", ""AC"", ""Common Room""]",0,0.0,0.0,0.0,1,1,0,0,Punjabi,Multan,"Urdu, English, Punjabi",COMSATS,Civil Engineering,Non-smoker,5,Night owl,Frequent guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-037,Male,Computer Science,3,33.727472,73.057811,14462,33628,0.87,1.0,0,Boys,Double,Both,0.83,0.17,0.5,0.73,0.62,"[""Generator"", ""Microwave""]",0,0.0,0.0,0.0,0,0,0,1,Punjabi,Faisalabad,"Urdu, English, Punjabi",FAST NUCES,Computer Science,Non-smoker,5,Early bird,Occasional guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-038,Male,Electrical Engineering,3,33.723921,73.094121,11331,36227,0.27,2.3,0,Boys,Dormitory,Non-Veg,0.44,0.56,0.4,0.6,0.65,"[""WiFi"", ""Cafeteria""]",1,0.0,0.0,1.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",Air University,Electrical Engineering,Non-smoker,3,Night owl,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-039,Male,Cyber Security,1,33.725409,73.044646,6466,29816,0.12,2.9,0,Boys,Single,Non-Veg,0.64,0.36,0.58,0.97,0.38,"[""Common Room"", ""Generator"", ""Rooftop Access""]",0,0.0,0.0,0.0,0,0,0,1,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Cyber Security,Non-smoker,2,Night owl,Occasional guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-040,Male,Electrical Engineering,2,33.717095,73.045914,12008,32531,0.26,1.6,0,Boys,Single,Non-Veg,0.06,0.94,0.53,0.11,0.87,"[""Common Room"", ""Gym"", ""Rooftop Access""]",0,1.0,0.0,0.0,0,0,0,0,Pathan,Kohat,"Urdu, English, Pashto",COMSATS,Electrical Engineering,Non-smoker,3,Night owl,Frequent guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-041,Male,Social Sciences,2,33.685447,73.049805,10867,31151,0.08,4.9,1,Boys,Double,Non-Veg,0.04,0.96,0.48,0.63,0.83,"[""Water Cooler""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi, Saraiki",NUST,Social Sciences,Non-smoker,3,Night owl,No guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-042,Female,BBA,2,33.724441,73.038706,5692,12170,0.35,4.9,1,Girls,Single,Both,0.32,0.68,0.61,0.02,0.12,"[""Laundry"", ""Water Cooler""]",0,0.0,0.0,0.0,1,0,0,0,Punjabi,Lahore,"Urdu, English, Punjabi",FAST NUCES,BBA,Smoker,5,Night owl,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-043,Male,Computer Science,1,33.718823,73.041888,14350,35431,0.02,3.0,0,Boys,Single,Non-Veg,0.22,0.78,0.82,0.82,0.79,"[""Microwave"", ""WiFi"", ""Parking"", ""Security Guard""]",1,0.0,0.0,0.0,0,0,0,0,Punjabi,Lahore,"Urdu, English, Punjabi",FAST NUCES,Computer Science,Non-smoker,2,Night owl,Frequent guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-044,Male,Cyber Security,4,33.714046,73.045634,6353,23423,0.57,2.9,0,Boys,Single,Veg,0.63,0.37,0.88,0.56,0.96,"[""Rooftop Access"", ""Laundry""]",0,0.0,0.0,0.0,1,0,0,0,Sindhi,Larkana,"Urdu, English, Sindhi",Air University,Cyber Security,Non-smoker,2,Early bird,Frequent guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-045,Male,BBA,2,33.642708,72.994584,7062,21092,0.29,0.8,0,Boys,Double,Non-Veg,0.19,0.81,0.67,0.17,0.06,"[""Library"", ""Parking"", ""Iron"", ""Laundry""]",0,0.0,0.0,0.0,1,0,0,0,Pathan,Swat,"Urdu, English, Pashto, Kashmiri",FAST NUCES,BBA,Smoker,5,Night owl,Occasional guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-046,Male,Cyber Security,3,33.738756,73.094097,9206,29533,0.84,0.7,0,Boys,Single,Veg,0.34,0.66,0.32,0.69,0.96,"[""Refrigerator"", ""WiFi"", ""Gym"", ""Water Cooler""]",1,1.0,0.0,0.0,0,0,0,0,Pathan,Kohat,"Urdu, English, Pashto, Arabic",NUST,Cyber Security,Non-smoker,3,Night owl,Occasional guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-047,Female,Social Sciences,3,33.726084,73.097717,14943,30415,0.95,4.6,1,Girls,Single,Non-Veg,0.74,0.26,0.88,0.91,0.99,"[""Microwave"", ""Common Room"", ""Security Guard"", ""Rooftop Access""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Social Sciences,Don't mind,4,Early bird,Occasional guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-048,Male,Computer Science,3,33.726397,73.087976,9758,31768,0.32,4.8,1,Boys,Double,Non-Veg,0.48,0.52,0.91,0.06,0.69,"[""Library""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Mirpur Khas,"Urdu, English, Sindhi, Kashmiri",FAST NUCES,Computer Science,Non-smoker,3,Night owl,Occasional guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-049,Male,Electrical Engineering,1,33.712094,73.040472,14713,28201,0.81,3.7,1,Boys,Single,Both,0.29,0.71,0.43,0.75,0.91,"[""Security Guard""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",FAST NUCES,Electrical Engineering,Non-smoker,5,Night owl,Occasional guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-050,Female,Social Sciences,1,33.721793,73.039248,9576,32831,0.02,1.8,0,Girls,Double,Non-Veg,0.25,0.75,0.15,0.89,0.46,"[""Gym""]",0,1.0,0.0,0.0,0,0,0,0,Pathan,Mardan,"Urdu, English, Pashto",FAST NUCES,Social Sciences,Non-smoker,4,Night owl,No guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-051,Female,Data Science,3,33.722059,73.09587,14873,36879,0.08,4.9,1,Girls,Double,Both,0.93,0.07,0.39,0.37,0.89,"[""Lounge"", ""CCTV"", ""Rooftop Access""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi",FAST NUCES,Data Science,Non-smoker,3,Early bird,Frequent guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-052,Male,Software Engineering,1,33.721501,73.042036,5798,18399,0.66,2.6,0,Boys,Dormitory,Veg,0.05,0.95,0.64,0.03,0.79,"[""Laundry"", ""Common Room""]",0,0.0,0.0,0.0,1,0,0,0,Gilgiti,Nagar,"Urdu, English, Shina, Burushaski",FAST NUCES,Software Engineering,Non-smoker,5,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-053,Female,Data Science,3,33.653526,72.998502,10109,18902,0.75,2.6,0,Girls,Single,Both,0.81,0.19,0.81,0.95,0.31,"[""Generator"", ""Water Cooler"", ""WiFi"", ""Study Room""]",1,0.0,1.0,0.0,0,0,0,1,Sindhi,Karachi,"Urdu, English, Sindhi",COMSATS,Data Science,Smoker,5,Early bird,No guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-054,Female,Computer Science,3,33.722777,73.084173,14836,23804,0.79,4.4,1,Girls,Double,Non-Veg,0.08,0.92,0.98,0.93,0.93,"[""Parking"", ""Microwave"", ""Gym""]",0,1.0,0.0,0.0,0,0,0,0,Sindhi,Larkana,"Urdu, English, Sindhi, French",COMSATS,Computer Science,Non-smoker,3,Night owl,Frequent guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-055,Male,Electrical Engineering,2,33.676652,73.046056,12437,17883,0.26,5.1,1,Boys,Single,Veg,0.92,0.08,0.53,0.17,0.17,"[""Iron"", ""Hot Water""]",0,0.0,0.0,0.0,0,0,1,0,Balochi,Zhob,"Urdu, English, Balochi",NUST,Electrical Engineering,Non-smoker,5,Early bird,Frequent guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-056,Male,Civil Engineering,4,33.645125,73.000183,8998,17773,0.0,3.8,1,Boys,Single,Both,0.14,0.86,0.38,0.57,0.48,"[""CCTV"", ""Parking""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",NUST,Civil Engineering,Smoker,4,Night owl,Occasional guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-057,Female,Data Science,4,33.720752,73.097581,10953,18612,0.62,3.8,1,Girls,Dormitory,Both,0.28,0.72,0.08,0.45,0.74,"[""Common Room""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Sukkur,"Urdu, English, Sindhi",NUST,Data Science,Non-smoker,4,Night owl,No guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-058,Female,Data Science,3,33.710754,73.054061,9284,27548,0.02,6.1,1,Girls,Dormitory,Veg,0.87,0.13,0.9,0.07,0.99,"[""Library"", ""Lounge""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",FAST NUCES,Data Science,Non-smoker,5,Early bird,Occasional guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-059,Female,Computer Science,4,33.682748,73.045437,8440,18071,0.02,4.0,1,Girls,Single,Non-Veg,0.18,0.82,0.76,0.04,0.86,"[""Prayer Room"", ""Parking""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Mardan,"Urdu, English, Pashto",FAST NUCES,Computer Science,Smoker,2,Night owl,Frequent guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-060,Male,Civil Engineering,1,33.710265,73.048136,11464,33026,0.5,3.6,1,Boys,Double,Veg,0.74,0.26,0.8,0.74,0.65,"[""WiFi""]",1,0.0,0.0,0.0,0,0,0,0,Pathan,Peshawar,"Urdu, English, Pashto",FAST NUCES,Civil Engineering,Non-smoker,5,Early bird,Occasional guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-061,Male,BBA,2,33.693792,73.052594,8129,30414,0.63,3.2,0,Boys,Dormitory,Non-Veg,0.04,0.96,0.81,0.07,0.33,"[""AC"", ""Study Room"", ""Common Room"", ""Parking""]",0,0.0,1.0,0.0,0,1,0,0,Gilgiti,Skardu,"Urdu, English, Shina, Burushaski",FAST NUCES,BBA,Non-smoker,5,Night owl,No guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-062,Male,Social Sciences,2,33.714837,73.04642,14951,22516,0.07,2.8,0,Boys,Dormitory,Non-Veg,0.15,0.85,0.58,0.85,0.73,"[""CCTV"", ""Parking"", ""Prayer Room""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Mardan,"Urdu, English, Pashto",COMSATS,Social Sciences,Don't mind,2,Night owl,Frequent guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-063,Male,Electrical Engineering,4,33.692617,73.038021,8188,32809,0.3,1.8,0,Boys,Double,Non-Veg,0.55,0.45,0.6,0.2,0.89,"[""Gym""]",0,1.0,0.0,0.0,0,0,0,0,Sindhi,Karachi,"Urdu, English, Sindhi",FAST NUCES,Electrical Engineering,Non-smoker,2,Night owl,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-064,Male,Data Science,4,33.729384,73.087432,12505,24667,0.79,5.3,1,Boys,Single,Both,0.6,0.4,0.6,0.34,0.54,"[""Study Room"", ""Cafeteria"", ""Iron""]",0,0.0,1.0,1.0,0,0,0,0,Punjabi,Multan,"Urdu, English, Punjabi",IIUI,Data Science,Non-smoker,2,Night owl,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
